name,headquarters_city,headquarters_state,latitude,longitude
Waste Management,Houston,TX,29.7589382,-95.3676974
American Electric Power,Columbus,OH,39.9622601,-83.0007065
Emerson Electric,St. Louis,MO,38.6280278,-90.1910154
Aflac,Columbus,GA,39.9622601,-83.0007065
Cognizant Technology Solutions,Teaneck,NJ,40.8860164,-74.0072568
Becton Dickinson,Franklin Lakes,NJ,41.0167639,-74.2057012
BJ's Wholesale Club,Marlborough,MA,42.3459271,-71.5522874
Moderna,Cambridge,MA,52.2055314,0.1186637
DTE Energy,Detroit,MI,42.3315509,-83.0466403
Land O'Lakes,Arden Hills,MN,45.0761409,-93.1666945
Kinder Morgan,Houston,TX,29.7589382,-95.3676974
Tenet Healthcare,Dallas,TX,32.7762719,-96.7968559
Devon Energy,Oklahoma City,OK,35.4729886,-97.5170536
Mosaic,Tampa,FL,27.9477595,-82.458444
Exelon,Chicago,IL,41.8755616,-87.6244212
General Mills,Minneapolis,MN,44.9772995,-93.2654692
Global Partners,Waltham,MA,42.3756401,-71.2358004
Western Digital,San Jose,CA,37.3361663,-121.890591
Lincoln National,Radnor,PA,40.0463001,-75.3595487
Ross Stores,Dublin,CA,53.3493795,-6.2605593
Stryker,Kalamazoo,MI,42.291707,-85.5872286
Kyndryl Holdings,New York,NY,40.7127281,-74.0060152
Kohl's,Menomonee Falls,WI,43.1790768,-88.1170784
Stanley Black & Decker,New Britain,CT,-5.2245897,151.55696765353173
Colgate-Palmolive,New York,NY,40.7127281,-74.0060152
BlackRock,New York,NY,40.7127281,-74.0060152
Fiserv,Brookfield,WI,41.8228378,-87.848085
Estee Lauder,New York,NY,40.7127281,-74.0060152
PPG Industries,Pittsburgh,PA,40.4416941,-79.9900861
Adobe,San Jose,CA,37.3361663,-121.890591
Block,San Francisco,CA,37.7790262,-122.419906
Synchrony Financial,Stamford,CT,41.0534302,-73.5387341
Principal Financial,Des Moines,IA,41.5910323,-93.6046655
Lumen Technologies,Monroe,LA,38.2722313,-90.1792484
Corteva,Indianapolis,IN,39.7683331,-86.1583502
Andersons,Maumee,OH,41.5628294,-83.6538244
Lam Research,Fremont,CA,37.5482697,-121.988571
Edison International,Rosemead,CA,34.0676169,-118.0879763
Dominion Energy,Richmond,VA,37.5385087,-77.43428
Booking Holdings,Norwalk,CT,41.1175966,-73.4078968
Quanta Services,Houston,TX,29.7589382,-95.3676974
Expeditors Intl. of Washington,Seattle,WA,47.6038321,-122.330062
L3Harris Technologies,Melbourne,FL,-37.8142454,144.9631732
Reliance Steel & Aluminum,Scottsdale,AZ,33.4942189,-111.926018
Live Nation Entertainment,Beverly Hills,CA,34.0696501,-118.3963062
DISH Network,Englewood,CO,39.6482059,-104.9879641
DuPont,Wilmington,DE,39.7459468,-75.546589
Automatic Data Processing,Roseland,NJ,37.278847,-94.84409136
Group 1 Automotive,Houston,TX,29.7589382,-95.3676974
Aramark,Philadelphia,PA,39.9527237,-75.1635262
Thor Industries,Elkhart,IN,41.6012796,-85.8590603
DXC Technology,Ashburn,VA,39.0437192,-77.4874899
Viatris,Canonsburg,PA,40.2588431,-80.186732
Reinsurance Group of America,Chesterfield,MO,37.3859982,-77.578509
AutoZone,Memphis,TN,35.1460249,-90.0517638
PulteGroup,Atlanta,GA,33.7489924,-84.3902644
Illinois Tool Works,Glenview,IL,38.3084193,-85.6505526
Parker-Hannifin,Cleveland,OH,41.4996574,-81.6936772
BorgWarner,Auburn Hills,MI,42.6875323,-83.2341028
Westlake,Houston,TX,29.7589382,-95.3676974
Consolidated Edison,New York,NY,40.7127281,-74.0060152
Gap,San Francisco,CA,37.7790262,-122.419906
Opendoor Technologies,Tempe,AZ,33.4255117,-111.940016
Nordstrom,Seattle,WA,47.6038321,-122.330062
Asbury Automotive Group,Duluth,GA,46.7729322,-92.1251218
Ball,Westminster,CO,51.5004439,-0.1265398
Kellogg,Battle Creek,MI,42.3192548,-85.1824269
Xcel Energy,Minneapolis,MN,44.9772995,-93.2654692
W.W. Grainger,Lake Forest,IL,42.2586461,-87.8407055
Discover Financial Services,Riverwoods,IL,42.1676068,-87.8970986
Baxter International,Deerfield,IL,42.1711365,-87.8445119
Southwestern Energy,Spring,TX,30.0798826,-95.4172549
DCP Midstream,Denver,CO,39.7392364,-104.984862
Jacobs Solutions,Dallas,TX,32.7762719,-96.7968559
Laboratory Corp. of America,Burlington,NC,44.4761601,-73.212906
CSX,Jacksonville,FL,30.3321838,-81.655651
J.B. Hunt Transport Services,Lowell,AR,42.6414437,-71.3085329
Guardian Life Ins. Co. of America,New York,NY,40.7127281,-74.0060152
Jackson Financial,Lansing,MI,42.7337712,-84.5553805
Fidelity National Information Services,Jacksonville,FL,30.3321838,-81.655651
Berry Global Group,Evansville,IN,37.970495,-87.5715641
Sempra,San Diego,CA,32.7174202,-117.162772
IQVIA Holdings,Durham,NC,54.666667,-1.75
O'Reilly Automotive,Springfield,MO,39.7990175,-89.6439575
Leidos Holdings,Reston,VA,38.9583737,-77.3579805
Ameriprise Financial,Minneapolis,MN,44.9772995,-93.2654692
Omnicom Group,New York,NY,40.7127281,-74.0060152
Tractor Supply,Brentwood,TN,37.9317766,-121.696026
Corning,Corning,NY,42.1435257,-77.0543408
Ecolab,St. Paul,MN,53.9446204,-111.2100163
Icahn Enterprises,Sunny Isles Beach,FL,25.939003,-80.12553387
Farmers Insurance Exchange,Woodland Hills,CA,34.1684364,-118.6058382
Keurig Dr Pepper,Burlington,MA,44.4761601,-73.212906
Loews,New York,NY,40.7127281,-74.0060152
Equitable Holdings,New York,NY,40.7127281,-74.0060152
Sonic Automotive,Charlotte,NC,35.2272086,-80.8430827
Fox,New York,NY,40.7127281,-74.0060152
American Family Insurance Group,Madison,WI,43.074761,-89.3837613
Entergy,New Orleans,LA,29.9759983,-90.0782127
Fluor,Irving,TX,32.8295183,-96.9442177
Vistra,Irving,TX,32.8295183,-96.9442177
State Street,Boston,MA,42.3554334,-71.060511
Otis Worldwide,Farmington,CT,44.6402434,-93.1435497
Peter Kiewit Sons',Omaha,NE,41.2587459,-95.9383758
Carvana,Tempe,AZ,33.4255117,-111.940016
Republic Services,Phoenix,AZ,40.3936294,47.7872508
AECOM,Dallas,TX,32.7762719,-96.7968559
Universal Health Services,King of Prussia,PA,40.0908111,-75.3832484
Pacific Life,Newport Beach,CA,33.6170092,-117.9294401
VMware,Palo Alto,CA,37.4443293,-122.1598465
Western & Southern Financial Group,Cincinnati,OH,39.1014537,-84.5124602
MGM Resorts International,Las Vegas,NV,36.1672559,-115.148516
Casey's General Stores,Ankeny,IA,41.7320796,-93.605092
Crown Holdings,Tampa,FL,27.9477595,-82.458444
Textron,Providence,RI,41.8239891,-71.4128343
LKQ,Chicago,IL,41.8755616,-87.6244212
Norfolk Southern,Atlanta,GA,33.7489924,-84.3902644
Intuit,Mountain View,CA,37.3893889,-122.0832101
Air Products & Chemicals,Allentown,PA,40.6022059,-75.4712794
Boston Scientific,Marlborough,MA,42.3459271,-71.5522874
AGCO,Duluth,GA,46.7729322,-92.1251218
Henry Schein,Melville,NY,50.9307241,-102.807296
Amphenol,Wallingford,CT,51.5982905,-1.1252511
AES,Arlington,VA,32.7355816,-97.1071186
Mutual of Omaha,Omaha,NE,41.2587459,-95.9383758
Ovintiv,Denver,CO,39.7392364,-104.984862
Hormel Foods,Austin,MN,30.2711286,-97.7436995
Alcoa,Pittsburgh,PA,40.4416941,-79.9900861
International Flavors & Fragrances,New York,NY,40.7127281,-74.0060152
Jones Financial (Edward Jones),Des Peres,MO,38.6049811,-90.4426837
Dick's Sporting Goods,Coraopolis,PA,40.5184013,-80.1667247
Eversource Energy,Springfield,MA,39.7990175,-89.6439575
Wayfair,Boston,MA,42.3554334,-71.060511
Community Health Systems,Franklin,TN,33.2002659,-95.2231752
Ally Financial,Detroit,MI,42.3315509,-83.0466403
Regeneron Pharmaceuticals,Tarrytown,NY,41.0762077,-73.8587461
Liberty Media,Englewood,CO,39.6482059,-104.9879641
APA,Houston,TX,29.7589382,-95.3676974
Qurate Retail,Englewood,CO,39.6482059,-104.9879641
FirstEnergy,Akron,OH,41.083064,-81.518485
Analog Devices,Wilmington,MA,39.7459468,-75.546589
Ryder System,Miami,FL,25.7741728,-80.19362
Avis Budget Group,Parsippany,NJ,40.8578772,-74.4259866
Unum Group,Chattanooga,TN,35.0457219,-85.3094883
Newmont,Denver,CO,39.7392364,-104.984862
VF,Denver,CO,39.7392364,-104.984862
Chesapeake Energy,Oklahoma City,OK,35.4729886,-97.5170536
Mohawk Industries,Calhoun,GA,28.5031572,-96.6736551
Markel,Glen Allen,VA,37.316934,-90.02781236
Expedia Group,Seattle,WA,47.6038321,-122.330062
Caesars Entertainment,Reno,NV,39.5261206,-119.8126581
United Rentals,Stamford,CT,41.0534302,-73.5387341
Apollo Global Management,New York,NY,40.7127281,-74.0060152
DaVita,Denver,CO,39.7392364,-104.984862
Hess,New York,NY,40.7127281,-74.0060152
Fidelity National Financial,Jacksonville,FL,30.3321838,-81.655651
Conagra Brands,Chicago,IL,41.8755616,-87.6244212
Univar Solutions,Downers Grove,IL,41.7936822,-88.0102281
Auto-Owners Insurance,Lansing,MI,42.7337712,-84.5553805
Raymond James Financial,St. Petersburg,FL,59.9606739,30.1586551
Seaboard,Merriam,KS,39.0168058,-94.689947
CF Industries Holdings,Deerfield,IL,42.1711365,-87.8445119
S&P Global,New York,NY,40.7127281,-74.0060152
W.R. Berkley,Greenwich,CT,51.46862565,0.048830573
Advance Auto Parts,Raleigh,NC,35.7803977,-78.6390989
EMCOR Group,Norwalk,CT,41.1175966,-73.4078968
Williams,Tulsa,OK,36.1563122,-95.9927516
Interpublic Group,New York,NY,40.7127281,-74.0060152
TravelCenters of America,Westlake,OH,32.991226,-97.1943701
American Tower,Boston,MA,42.3554334,-71.060511
Molson Coors Beverage,Chicago,IL,41.8755616,-87.6244212
Huntington Ingalls Industries,Newport News,VA,37.0914429,-76.5213892
NVR,Reston,VA,38.9583737,-77.3579805
Eastman Chemical,Kingsport,TN,36.550238,-82.5594293
Graybar Electric,St. Louis,MO,38.6280278,-90.1910154
Insight Enterprises,Chandler,AZ,33.3062031,-111.841185
Hershey,Hershey,PA,40.2854881,-76.6506001
News Corp.,New York,NY,40.7127281,-74.0060152
Toll Brothers,Fort Washington,PA,38.738019,-77.0020756
Ulta Beauty,Bolingbrook,IL,41.7003302,-88.0717708
Assurant,Atlanta,GA,33.7489924,-84.3902644
Weyerhaeuser,Seattle,WA,47.6038321,-122.330062
Biogen,Cambridge,MA,52.2055314,0.1186637
Dana,Maumee,OH,41.5628294,-83.6538244
UGI,King of Prussia,PA,40.0908111,-75.3832484
Chewy,Plantation,FL,26.12744855,-80.25779069
Owens & Minor,Mechanicsville,VA,41.9044574,-91.2546067
Quest Diagnostics,Secaucus,NJ,40.7899291,-74.0566735
Public Service Enterprise Group,Newark,NJ,40.735657,-74.1723667
eBay,San Jose,CA,37.3361663,-121.890591
MasTec,Coral Gables,FL,25.7331105,-80.2585107
Owens Corning,Toledo,OH,39.8560679,-4.0239568
Celanese,Irving,TX,32.8295183,-96.9442177
Altice USA,Long Island City,NY,40.7415095,-73.9569751
Alaska Air Group,Seattle,WA,47.6038321,-122.330062
SpartanNash,Byron Center,MI,42.81928795,-85.72791602
Diamondback Energy,Midland,TX,31.83688,-102.0103767
Intercontinental Exchange,Atlanta,GA,33.7489924,-84.3902644
Darden Restaurants,Orlando,FL,28.5421109,-81.3790304
UFP Industries,Grand Rapids,MI,42.9632425,-85.6678639
WEC Energy Group,Milwaukee,WI,43.0349931,-87.922497
Yum China Holdings,Plano,TX,33.0136764,-96.6925096
EnLink Midstream,Dallas,TX,32.7762719,-96.7968559
Continental Resources,Oklahoma City,OK,35.4729886,-97.5170536
Newell Brands,Atlanta,GA,33.7489924,-84.3902644
Graphic Packaging Holding,Atlanta,GA,33.7489924,-84.3902644
Olin,Clayton,MO,33.5204959,-84.3591713
Fifth Third Bancorp,Cincinnati,OH,39.1014537,-84.5124602
Thrivent Financial for Lutherans,Minneapolis,MN,44.9772995,-93.2654692
CenterPoint Energy,Houston,TX,29.7589382,-95.3676974
Erie Insurance Group,Erie,PA,42.1294712,-80.0852695
CommScope Holding,Hickory,NC,37.959055,-93.3334746
KLA,Milpitas,CA,37.4332273,-121.8989248
JetBlue Airways,Long Island City,NY,40.7415095,-73.9569751
Motorola Solutions,Chicago,IL,41.8755616,-87.6244212
Citizens Financial Group,Providence,RI,41.8239891,-71.4128343
Coterra Energy,Houston,TX,29.7589382,-95.3676974
Avery Dennison,Mentor,OH,41.6664781,-81.3399769
PVH,New York,NY,40.7127281,-74.0060152
GXO Logistics,Greenwich,CT,51.46862565,0.048830573
Polaris,Medina,MN,46.8250388,103.8499736
Global Payments,Atlanta,GA,33.7489924,-84.3902644
Arconic,Pittsburgh,PA,40.4416941,-79.9900861
Vertex Pharmaceuticals,Boston,MA,42.3554334,-71.060511
Commercial Metals,Irving,TX,32.8295183,-96.9442177
Autoliv,Auburn Hills,MI,42.6875323,-83.2341028
Constellation Brands,Victor,NY,41.7313887,-92.2979429
Hilton Worldwide Holdings,McLean,VA,40.4631789,-88.8196613
Foot Locker,New York,NY,40.7127281,-74.0060152
Huntsman,The Woodlands,TX,30.1734194,-95.504686
Burlington Stores,Burlington,NJ,44.4761601,-73.212906
Hertz Global Holdings,Estero,FL,26.4381474,-81.8067537
Masco,Livonia,MI,42.36837,-83.3527097
Williams-Sonoma,San Francisco,CA,37.7790262,-122.419906
Chipotle Mexican Grill,Newport Beach,CA,33.6170092,-117.9294401
M&T Bank,Buffalo,NY,37.7097669,-95.6974822
LPL Financial Holdings,San Diego,CA,32.7174202,-117.162772
CMS Energy,Jackson,MI,32.2998686,-90.1830408
Campbell Soup,Camden,NJ,39.9448402,-75.1198911
Arthur J. Gallagher,Rolling Meadows,IL,42.0841936,-88.0131275
Blackstone,New York,NY,40.7127281,-74.0060152
Dover,Downers Grove,IL,41.7936822,-88.0102281
ODP,Boca Raton,FL,26.3586885,-80.0830984
Packaging Corp. of America,Lake Forest,IL,42.2586461,-87.8407055
Brighthouse Financial,Charlotte,NC,35.2272086,-80.8430827
Beacon Roofing Supply,Herndon,VA,39.909726,-100.785153
Airbnb,San Francisco,CA,37.7790262,-122.419906
Boise Cascade,Boise,ID,43.6008183,-116.2421086
Booz Allen Hamilton Holding,McLean,VA,40.4631789,-88.8196613
Westinghouse Air Brake Technologies,Pittsburgh,PA,40.4416941,-79.9900861
ON Semiconductor,Scottsdale,AZ,33.4942189,-111.926018
Oshkosh,Oshkosh,WI,44.0206919,-88.5408574
Franklin Resources,San Mateo,CA,37.496904,-122.3330573
Taylor Morrison Home,Scottsdale,AZ,33.4942189,-111.926018
A-Mark Precious Metals,El Segundo,CA,33.917028,-118.4156337
KeyCorp,Cleveland,OH,41.4996574,-81.6936772
ARKO,Richmond,VA,37.5385087,-77.43428
Lululemon athletica,Sumner,WA,37.2435967,-97.4792142
Old Republic International,Chicago,IL,41.8755616,-87.6244212
Zoetis,Parsippany,NJ,40.8578772,-74.4259866
Marathon Oil,Houston,TX,29.7589382,-95.3676974
J.M. Smucker,Orrville,OH,32.3062505,-87.2455492
Huntington Bancshares,Columbus,OH,39.9622601,-83.0007065
NGL Energy Partners,Tulsa,OK,36.1563122,-95.9927516
Ingredion,Westchester,IL,41.1763139,-73.7907554
Fortune Brands Innovations,Deerfield,IL,42.1711365,-87.8445119
PPL,Allentown,PA,40.6022059,-75.4712794
Sanmina,San Jose,CA,37.3361663,-121.890591
Bed Bath & Beyond,Union,NJ,37.4616454,-89.2504793
Cintas,Cincinnati,OH,39.1014537,-84.5124602
