Name,Rank,Industry,Revenues,Year,Sector,Revenues_($M)
"Merck & Co., Inc.",55,Pharmaceuticals,"1,668,110",1996,,
The Travelers Group,56,Insurance: Property and Casualty (Stock),"1,658,300",1996,,
"Supervalu, Inc.",57,Wholesalers,"1,656,380",1996,,
"Safeway, Inc.",58,Food and Drug Stores,"1,639,750",1996,,
NationsBank Corporation,59,Commercial Banks,"1,629,800",1996,,
Intel Corporation,60,"Electronics, Electrical Equip.","1,620,200",1996,,
New York Life Insurance Company,61,"Insurance: Life, Health (Mutual)","1,620,170",1996,,
Minnesota Mining & Manufacturing Company,62,"Scientific,Photographic and Control Equipment","1,610,500",1996,,
"Caterpillar, Inc.",63,Industrial and Farm Equipment,"1,607,200",1996,,
RJR Nabisco Holdings Corporation,64,Food,"1,600,800",1996,,
American Express Company,65,Diversified Financials,"1,584,100",1996,,
"The Home Depot, Inc.",66,Specialty Retailers,"1,547,040",1996,,
Eastman Kodak Company,67,"Scientific,Photographic and Control Equipment","1,526,900",1996,,
MCI Communications Corporation,68,Telecommunications,"1,526,500",1996,,
morg,69,General Merchandisers,"1,504,850",1996,,
UAL Corporation,70,Airlines,"1,494,300",1996,,
Chemical Banking Corporation,71,Commercial Banks,"1,488,400",1996,,
Compaq Computer Corporation,72,"Computers, Office Equipment","1,475,500",1996,,
AlliedSignal Inc.,73,Aerospace,"1,434,600",1996,,
McDonnell Douglas Corporation,74,Aerospace,"1,433,200",1996,,
Georgia-Pacific Corporation,75,Forest and Paper Products,"1,429,200",1996,,
J.P. Morgan & Co. Inc.,76,Commercial Banks,"1,383,800",1996,,
Digital Equipment Corporation,77,"Computers, Office Equipment","1,381,310",1996,,
Kimberly-Clark Corporation,78,Forest and Paper Products,"1,378,860",1996,,
Bristol-Myers Squibb Company,79,Pharmaceuticals,"1,376,700",1996,,
Sprint Corporation,80,Telecommunications,"1,359,950",1996,,
Phillips Petroleum Company,81,Petroleum Refining,"1,352,100",1996,,
"Lehman Brothers Holdings, Inc.",82,X Brokerage,"1,347,600",1996,,
Bell Atlantic Corporation,83,Telecommunications,"1,342,950",1996,,
Ameritech Corporation,84,Telecommunications,"1,342,780",1996,,
NYNEX Corporation,85,Telecommunications,"1,340,690",1996,,
American Home Products Corporation,86,Pharmaceuticals,"1,337,610",1996,,
McKesson Corporation,87,Wholesalers,"1,332,550",1996,,
The Goodyear Tire & Rubber Company,88,Rubber and Plastic Products,"1,316,590",1996,,
"Texas Instruments, Inc.",89,"Electronics, Electrical Equip.","1,312,800",1996,,
Rockwell International Corporation,90,"Electronics, Electrical Equip.","1,300,900",1996,,
Aetna Life & Casualty Co.,91,"Insurance: Life, Health (stock)","1,297,800",1996,,
Archer Daniels Midland Company,92,Food,"1,267,190",1996,,
SBC Communications Inc.,96,Food and Drug Stores,"1,258,500",1996,,
"IBP, Inc.",94,Food,"1,266,760",1996,,
Alcoa,95,Metals,"1,265,490",1996,,
"Anheuser-Busch Companies, Inc.",97,Beverages,"1,232,550",1996,,
"Delta Air Lines, Inc.",98,Airlines,"1,219,400",1996,,
The May Department Stores Company,99,General Merchandisers,"1,218,700",1996,,
"ITT Hartford Group, Inc.",100,Insurance: Property and Casualty (Stock),"1,215,000",1996,,
SYSCO Corporation,101,Wholesalers,"1,211,800",1996,,
The Walt Disney Company,102,Entertainment,"1,211,210",1996,,
"Winn-Dixie Stores, Inc.",103,Food and Drug Stores,"1,178,780",1996,,
Weyerhaeuser Company,104,Forest and Paper Products,"1,178,770",1996,,
Viacom Inc.,105,Entertainment,"1,178,020",1996,,
"U S WEST, Inc.",106,Telecommunications,"1,174,600",1996,,
Raytheon Company,107,"Electronics, Electrical Equip.","1,171,600",1996,,
Nationwide Insurance Enterprise,108,"Insurance: Life, Health (Mutual)","1,170,240",1996,,
Teachers Insurance & Annuity Association of America,109,"Insurance: Life, Health (Mutual)","1,164,620",1996,,
Melville Corporation,110,Specialty Retailers,"1,151,640",1996,,
Northwestern Mutual Life Insurance Company,111,"Insurance: Life, Health (Mutual)","1,148,330",1996,,
Chase Manhattan Corporation,112,Commercial Banks,"1,133,600",1996,,
"Ashland, Inc.",113,Petroleum Refining,"1,125,110",1996,,
"Apple Computer, Inc.",114,"Computers, Office Equipment","1,106,200",1996,,
"WMX Technologies, Inc.",115,Waste Management,"1,097,930",1996,,
Morgan Stanley Group Inc.,116,Diversified Financials,"1,094,900",1996,,
Federal Home Loan Mortgage Corporation,117,Diversified Financials,"1,091,500",1996,,
First Chicago NBD Corporation,118,Commercial Banks,"1,068,100",1996,,
First Union Corporation,119,Commercial Banks,"1,058,290",1996,,
The Principal Mutual Life Insurance Company,120,"Insurance: Life, Health (Mutual)","1,056,100",1996,,
CSX Corporation,121,Railroads,"1,050,400",1996,,
Occidental Petroleum Corporation,122,Chemicals,"1,042,300",1996,,
Walgreen Co.,123,Food and Drug Stores,"1,039,510",1996,,
Deere & Company,137,Specialty Retailers,"942,690",1996,,
The Coastal Corporation,125,Petroleum Refining,"1,022,340",1996,,
"TRW, Inc.",126,Motor Vehicles and Parts,"1,017,240",1996,,
"Pfizer, Inc.",127,Pharmaceuticals,"1,002,140",1996,,
Emerson Electric Company,128,"Electronics, Electrical Equip.","1,001,290",1996,,
Abbott Laboratories,129,Pharmaceuticals,"1,001,220",1996,,
"Textron, Inc.",130,Aerospace,"997,300",1996,,
Alco Standard Corp.,131,Wholesalers,"989,180",1996,,
"Baxter International, Inc.",133,"Scientific,Photographic and Control Equipment","973,000",1996,,
Pacific Gas & Electric Company,134,Utilities: Gas and Electric,"962,180",1996,,
Westinghouse Electric Corporation,135,"Electronics, Electrical Equip.","960,500",1996,,
"Publix Super Markets, Inc.",136,Food and Drug Stores,"947,070",1996,,
Federal Express Corporation,138,"Mail, Package, and Freight Delivery","939,210",1996,,
Liberty Mutual Insurance Group,139,Insurance: Property and Casualty (Mutual),"930,800",1996,,
Fluor Corporation,140,"Engineering, Construction","930,140",1996,,
Enron Corp.,141,Pipelines,"918,900",1996,,
The Southern Company,142,Utilities: Gas and Electric,"918,000",1996,,
"Northwest Airlines, Inc.",143,Airlines,"908,490",1996,,
Pacific Telesis Group,144,Telecommunications,"904,200",1996,,
Banc One Corporation,145,Commercial Banks,"897,090",1996,,
Monsanto Company,146,Chemicals,"896,200",1996,,
Marriott International,147,"Hotels, Casinos, Resorts","896,070",1996,,
Union Pacific Corporation,148,Railroads,"894,200",1996,,
"Salomon, Inc.",149,X Brokerage,"893,300",1996,,
"Tenneco, Inc.",150,Motor Vehicles and Parts,"889,900",1996,,
"ITT Industries, Inc.",151,Motor Vehicles and Parts,"888,400",1996,,
Bankers Trust New York Corporation,152,Commercial Banks,"860,000",1996,,
Bergen Brunswig Corporation,153,Wholesalers,"844,760",1996,,
"CPC International, Inc.",154,Food,"843,150",1996,,
Edison International,155,Utilities: Gas and Electric,"840,500",1996,,
"General Mills, Inc.",156,Food,"839,360",1996,,
"Sun Company, Inc.",157,Petroleum Refining,"837,000",1996,,
Colgate-Palmolive Company,158,"Soaps, Cosmetics","835,820",1996,,
Whirlpool Corporation,159,"Electronics, Electrical Equip.","834,700",1996,,
"Johnson Controls, Inc.",160,Motor Vehicles and Parts,"833,030",1996,,
Woolworth Corporation,161,Specialty Retailers,"822,400",1996,,
H.J. Heinz Company,162,Food,"808,680",1996,,
Time Warner Inc.,163,Entertainment,"806,700",1996,,
College Retirement Equities Fund,164,Diversified Financials,"795,060",1996,,
"Dean Witter, Discover & Co.",165,Diversified Financials,"793,440",1996,,
Fleet Financial Group,166,Commercial Banks,"791,940",1996,,
"The Limited, Inc.",167,Specialty Retailers,"788,140",1996,,
"Cardinal Health, Inc.",168,Wholesalers,"780,610",1996,,
Dana Corporation,169,Motor Vehicles and Parts,"779,450",1996,,
Norwest Corporation,170,Commercial Banks,"758,230",1996,,
Eli Lilly & Company,171,Pharmaceuticals,"753,540",1996,,
Unocal Corporation,172,Petroleum Refining,"752,700",1996,,
Amerada Hess Corporation,173,Petroleum Refining,"752,480",1996,,
"USAir Group, Inc.",174,Airlines,"747,430",1996,,
Stone Container Corporation,175,Forest and Paper Products,"735,120",1996,,
Tosco Corporation,176,Petroleum Refining,"728,410",1996,,
Campbell Soup Company,177,Food,"727,800",1996,,
"Farmland Industries, Inc.",178,Food,"725,690",1996,,
Reynolds Metals Company,184,Specialty Retailers,"707,540",1996,,
Ralston Purina Company,180,Food,"721,030",1996,,
General Re Corporation,181,Insurance: Property and Casualty (Stock),"721,020",1996,,
"AFLAC, Inc.",182,"Insurance: Life, Health (stock)","719,060",1996,,
"Pharmacia & Upjohn, Inc.",183,Pharmaceuticals,"709,460",1996,,
"PPG Industries, Inc.",185,Chemicals,"705,770",1996,,
Warner-Lambert Company,186,Pharmaceuticals,"703,980",1996,,
Kellogg Company,187,Food,"700,370",1996,,
Champion International Corporation,188,Forest and Paper Products,"697,200",1996,,
Unicom Corporation,189,Utilities: Gas and Electric,"691,000",1996,,
"Tele-Communications, Inc.",190,Telecommunications,"685,100",1996,,
Eaton Corporation,191,Motor Vehicles and Parts,"682,170",1996,,
Northrop Grumman Corporation,192,Aerospace,"681,800",1996,,
Massachusetts Mutual Life Insurance,193,"Insurance: Life, Health (Mutual)","680,410",1996,,
James River Corporation of Virginia,194,Forest and Paper Products,"679,950",1996,,
The Gillette Company,195,Metal Products,"679,470",1996,,
"Coca-Cola Enterprises, Inc.",196,Beverages,"677,300",1996,,
"Honeywell, Inc.",197,"Scientific,Photographic and Control Equipment","673,130",1996,,
Levi Strauss Associates,198,Apparel,"670,760",1996,,
Lincoln National Corporation,199,"Insurance: Life, Health (stock)","663,330",1996,,
United Services Automobile Association,200,Insurance: Property and Casualty (Stock),"661,090",1996,,
R.R. Donnelley & Sons,201,"Publishing, Printing","651,180",1996,,
American General Corporation,202,Diversified Financials,"649,500",1996,,
Unisys Corporation,203,Computer And Data Services,"646,040",1996,,
"Consolidated Edison Company of New York, Inc.",204,Utilities: Gas and Electric,"640,150",1996,,
PNC Bank Corp.,205,Commercial Banks,"638,950",1996,,
The Quaker Oats Company,206,Food,"636,520",1996,,
ITT Corporation,207,"Hotels, Casinos, Resorts","634,600",1996,,
Navistar International Corporation,208,Motor Vehicles and Parts,"634,200",1996,,
Entergy Corporation,209,Utilities: Gas and Electric,"627,440",1996,,
"Burlington Northern Santa Fe, Corp.",210,Railroads,"618,300",1996,,
Guardian Life Insurance Co. of America,211,"Insurance: Life, Health (Mutual)","617,230",1996,,
"Public Service Enterprise Group, Inc.",212,Utilities: Gas and Electric,"616,420",1996,,
Transamerica Corporation,213,"Insurance: Life, Health (stock)","610,110",1996,,
"Dillard Department Stores, Inc.",214,General Merchandisers,"609,710",1996,,
Chubb Corporation,215,Insurance: Property and Casualty (Stock),"608,920",1996,,
KeyCorp,216,Commercial Banks,"605,400",1996,,
"Associated Insurance Companies,Inc.",217,"Insurance: Life, Health (stock)","603,750",1996,,
Halliburton Company,218,"Engineering, Construction","595,130",1996,,
Microsoft Corporation,219,Computer And Data Services,"593,700",1996,,
Arrow Electronics,220,Wholesalers,"591,940",1996,,
"American Brands, Inc.",221,Tobacco,"590,490",1996,,
"Sun Microsystems, Inc.",222,"Computers, Office Equipment","590,190",1996,,
Union Carbide Corporation,223,Chemicals,"588,800",1996,,
John Hancock Mutual Life Insurance Company,224,"Insurance: Life, Health (Mutual)","584,550",1996,,
Tandy Corporation,225,Specialty Retailers,"583,910",1996,,
"Continental Airlines, Inc.",226,Airlines,"582,500",1996,,
"Merisel, Inc.",227,Wholesalers,"580,180",1996,,
W.R. Grace & Co.,228,Chemicals,"578,420",1996,,
"Browning-Ferris Industries, Inc.",229,Waste Management,"577,940",1996,,
Ingersoll-Rand Company,230,Industrial and Farm Equipment,"572,900",1996,,
"American Electric Power Company, Inc.",231,Utilities: Gas and Electric,"567,030",1996,,
United HealthCare Corporation,232,Health Care,"567,000",1996,,
Texas Utilities Company,233,Utilities: Gas and Electric,"563,870",1996,,
"Dresser Industries, Inc.",234,Industrial and Farm Equipment,"562,870",1996,,
ARAMARK Corporation,235,Food Services,"560,060",1996,,
"FPL Group, Inc.",236,Utilities: Gas and Electric,"559,250",1996,,
"Circuit City Stores, Inc.",237,Specialty Retailers,"558,290",1996,,
The Black & Decker Corporation,238,Industrial and Farm Equipment,"556,620",1996,,
"Tyson Foods, Inc.",239,Food,"551,120",1996,,
Loral Corporation,240,"Electronics, Electrical Equip.","548,440",1996,,
Manpower Inc.,241,Temporary Help,"548,420",1996,,
Dun & Bradstreet Corporation (The),242,Computer And Data Services,"541,510",1996,,
Bank of Boston Corporation,243,Commercial Banks,"541,060",1996,,
"The St. Paul Companies, Inc.",244,Insurance: Property and Casualty (Stock),"540,960",1996,,
Wells Fargo & Company,245,Commercial Banks,"540,900",1996,,
"Corning, Inc.",246,"Building Materials, Glass","534,610",1996,,
The Bank of New York Company,247,Commercial Banks,"532,700",1996,,
"Paine Webber Group, Inc.",248,X Brokerage,"532,010",1996,,
"Office Depot, Inc.",249,Specialty Retailers,"531,320",1996,,
Dell Computer Corporation,250,"Computers, Office Equipment","529,600",1996,,
"Consolidated Freightways, Inc.",251,Trucking,"528,110",1996,,
Genuine Parts Company,252,Wholesalers,"526,190",1996,,
"Cummins Engine Company, Inc.",253,Industrial and Farm Equipment,"524,500",1996,,
"AMP , Inc.",254,"Electronics, Electrical Equip.","522,720",1996,,
"American Standard Companies, Inc.",255,Industrial and Farm Equipment,"522,150",1996,,
The Mead Corporation,256,Forest and Paper Products,"517,940",1996,,
FoxMeyer Health Corporation,257,Wholesalers,"517,710",1996,,
Ryder System,258,"Automotive Retailing, Services","516,740",1996,,
Schering-Plough Corporation,259,Pharmaceuticals,"515,060",1996,,
"Household International, Inc.",260,Diversified Financials,"514,440",1996,,
Case Corporation,261,Industrial and Farm Equipment,"510,500",1996,,
Best Buy Co. Inc.,262,Specialty Retailers,"507,960",1996,,
"The Vons Companies, Inc.",263,Food and Drug Stores,"507,070",1996,,
VF Corporation,264,Apparel,"506,230",1996,,
Boise Cascade Corporation,265,Forest and Paper Products,"505,770",1996,,
"Crown Cork & Seal Company, Inc.",266,Metal Products,"505,380",1996,,
Eastman Chemical Company,267,Chemicals,"504,000",1996,,
Eckerd Corporation,268,Food and Drug Stores,"499,710",1996,,
PanEnergy Corp.,269,Pipelines,"496,750",1996,,
Lyondell Petrochemical Company,270,Chemicals,"493,600",1996,,
"Cooper Industries, Inc.",271,"Electronics, Electrical Equip.","488,590",1996,,
Bethlehem Steel Corporation,272,Metals,"486,750",1996,,
Paccar Inc.,273,Motor Vehicles and Parts,"484,820",1996,,
First Interstate Bancorp,274,Commercial Banks,"482,750",1996,,
"Inland Steel Industries, Inc.",275,Metals,"478,150",1996,,
Masco,276,Metal Products,"477,900",1996,,
"Nike, Inc.",277,Wholesalers,"476,080",1996,,
Lear Seating Corporation,278,Motor Vehicles and Parts,"471,440",1996,,
"Humana, Inc.",279,Health Care,"470,200",1996,,
Duke Power Company,280,Utilities: Gas and Electric,"467,670",1996,,
Bindley Western Industries,281,Wholesalers,"467,250",1996,,
AmeriSource Health Corporation,282,Wholesalers,"466,890",1996,,
Norfolk Southern Corporation,283,Railroads,"466,800",1996,,
"Thrifty Payless Holdings, Inc.",284,Food and Drug Stores,"465,880",1996,,
"Dominion Resources, Inc.",285,Utilities: Gas and Electric,"465,170",1996,,
FMC Corporation,286,Chemicals,"456,660",1996,,
"Seagate Technology, Inc.",287,"Computers, Office Equipment","453,960",1996,,
Tyco International Ltd.,288,Metal Products,"453,470",1996,,
Rite Aid Corporation,289,Food and Drug Stores,"453,390",1996,,
Mellon Bank Corporation,290,Commercial Banks,"451,400",1996,,
"Avon Products, Inc.",291,"Soaps, Cosmetics","449,210",1996,,
"Berkshire Hathaway, Inc.",292,Diversified Financials,"448,770",1996,,
"The TJX Companies, Inc.",293,Specialty Retailers,"444,750",1996,,
"Revco D.S., Inc.",294,Food and Drug Stores,"443,190",1996,,
H.F. Ahmanson,295,Savings Institutions,"439,750",1996,,
"The Gap, Inc.",296,Specialty Retailers,"439,530",1996,,
Houston Industries Incorporated,297,Utilities: Gas and Electric,"438,840",1996,,
Avnet,298,Wholesalers,"430,000",1996,,
The LTV Corporation,299,Metals,"428,320",1996,,
Union Camp Corporation,300,Forest and Paper Products,"421,170",1996,,
PECO Energy Company,301,Utilities: Gas and Electric,"418,620",1996,,
Phelps Dodge Corporation,302,Metals,"418,540",1996,,
Supermarkets General Holdings Corporation,303,Food and Drug Stores,"418,210",1996,,
"Dole Food Company, Inc.",304,Food,"415,280",1996,,
"Illinois Tool Works, Inc.",305,Metal Products,"415,220",1996,,
Mutual of Omaha Insurance Companies,306,"Insurance: Life, Health (Mutual)","413,430",1996,,
Unum Corp.,307,"Insurance: Life, Health (stock)","412,290",1996,,
"The Stop & Shop Companies, Inc.",308,Food and Drug Stores,"411,610",1996,,
"Nordstrom, Inc.",309,General Merchandisers,"411,350",1996,,
Jefferson Smurfit Corporation,310,Forest and Paper Products,"409,300",1996,,
First Data Corporation,311,Computer And Data Services,"408,120",1996,,
"Chiquita Brands International, Inc.",312,Food,"402,660",1996,,
"Service Merchandise Company, Inc.",313,Specialty Retailers,"401,850",1996,,
"Gannett Company, Inc.",314,"Publishing, Printing","400,670",1996,,
"Waban, Inc.",315,Specialty Retailers,"397,840",1996,,
Niagara Mohawk Power Corporation,316,Utilities: Gas and Electric,"391,730",1996,,
Student Loan Marketing Association,317,Diversified Financials,"391,660",1996,,
FHP International Corporation,318,Health Care,"390,940",1996,,
"Air Products & Chemicals, Inc.",319,Chemicals,"389,100",1996,,
CMS Energy Corporation,320,Utilities: Gas and Electric,"389,000",1996,,
Rohm & Haas Company,321,Chemicals,"388,400",1996,,
"Willamette Industries, Inc.",322,Forest and Paper Products,"387,360",1996,,
"Pitney Bowes, Inc.",323,"Computers, Office Equipment","386,120",1996,,
General Public Utilities Corporation,324,Utilities: Gas and Electric,"380,470",1996,,
"Marsh & McLennan Companies, Inc.",325,Diversified Financials,"377,030",1996,,
"Owens-Illinois, Inc.",326,"Building Materials, Glass","376,320",1996,,
Wachovia Corporation,327,Commercial Banks,"375,540",1996,,
"The Bear Stearns Companies, Inc.",328,X Brokerage,"375,360",1996,,
Northeast Utilities Service Company,329,Utilities: Gas and Electric,"374,900",1996,,
Dover Corporation,330,Industrial and Farm Equipment,"374,590",1996,,
"SunTrust Banks, Inc.",331,Commercial Banks,"374,030",1996,,
Central & South West Corporation,332,Utilities: Gas and Electric,"373,500",1996,,
"PacifiCare Health Systems, Inc.",333,Health Care,"373,100",1996,,
Safeco Corporation,334,Insurance: Property and Casualty (Stock),"372,270",1996,,
"Giant Food, Inc.",335,Food and Drug Stores,"369,560",1996,,
Hershey Foods Corporation,336,Food,"369,070",1996,,
Conrail Inc.,337,Railroads,"368,600",1996,,
"Barnett Banks, Inc.",338,Commercial Banks,"368,000",1996,,
"Gateway 2000, Inc.",339,"Computers, Office Equipment","367,630",1996,,
NGC Corporation,340,Pipelines,"366,590",1996,,
"WorldCom, Inc.",341,Telecommunications,"364,000",1996,,
"Mattel, Inc.",342,"Toys, Sporting Goods","363,880",1996,,
DTE Energy Company,343,Utilities: Gas and Electric,"363,550",1996,,
American Financial Group,344,Insurance: Property and Casualty (Stock),"362,960",1996,,
Owens-Corning,345,"Building Materials, Glass","361,200",1996,,
The Dial Corp.,346,"Soaps, Cosmetics","357,510",1996,,
"Premark International, Inc.",347,Rubber and Plastic Products,"357,360",1996,,
The Circle K Corporation,348,Food and Drug Stores,"356,560",1996,,
Great Western Financial Corporation,349,Savings Institutions,"355,640",1996,,
General Dynamics Corporation,350,Aerospace,"354,400",1996,,
The Penn Traffic Company,351,Food and Drug Stores,"353,660",1996,,
"U.S. Healthcare, Inc.",352,Health Care,"351,780",1996,,
"Food 4 Less Holdings, Inc.",353,Food and Drug Stores,"349,400",1996,,
The Times Mirror Company,354,"Publishing, Printing","349,100",1996,,
Reebok International Ltd.,355,Wholesalers,"348,150",1996,,
Harris Corporation,356,"Electronics, Electrical Equip.","348,090",1996,,
"Intelligent Electronics, Inc.",357,Wholesalers,"347,460",1996,,
Aon Corporation,358,"Insurance: Life, Health (stock)","346,570",1996,,
Nucor Corporation,359,Metals,"346,200",1996,,
"Temple-Inland, Inc.",360,Forest and Paper Products,"346,000",1996,,
USF&G Corporation,361,Insurance: Property and Casualty (Stock),"345,880",1996,,
National City Corporation,362,Commercial Banks,"344,990",1996,,
"Turner Broadcasting System, Inc.",363,Entertainment,"343,700",1996,,
"Fred Meyer, Inc.",364,General Merchandisers,"342,870",1996,,
PacifiCorp,365,Utilities: Gas and Electric,"340,090",1996,,
Providian Corporation,366,"Insurance: Life, Health (stock)","338,800",1996,,
Computer Sciences Corporation,367,Computer And Data Services,"337,250",1996,,
Quantum Corporation,368,"Computers, Office Equipment","336,800",1996,,
Comcast Corporation,369,Telecommunications,"336,290",1996,,
"Morton International, Inc.",370,Chemicals,"335,490",1996,,
"First Bank System, Inc.",371,Commercial Banks,"332,830",1996,,
"Litton Industries, Inc.",372,"Electronics, Electrical Equip.","331,970",1996,,
Tenet Healthcare Corp.,373,Health Care,"331,800",1996,,
"Trans World Airlines, Inc.",374,Airlines,"331,680",1996,,
"MAPCO, Inc.",375,Petroleum Refining,"331,000",1996,,
Consolidated Natural Gas Company,376,Utilities: Gas and Electric,"330,730",1996,,
Westvaco Corporation,377,Forest and Paper Products,"330,270",1996,,
The Turner Corporation,378,"Engineering, Construction","328,150",1996,,
Universal Corporation,379,Tobacco,"328,090",1996,,
Centex Corporation,380,"Engineering, Construction","327,750",1996,,
"W.W. Grainger, Inc.",381,Wholesalers,"327,690",1996,,
The Sherwin-Williams Company,382,Chemicals,"327,380",1996,,
"Harcourt General, Inc.",383,General Merchandisers,"324,190",1996,,
Allmerica Financial,384,Insurance: Property and Casualty (Stock),"323,890",1996,,
"Beverly Enterprises, Inc.",385,Health Care,"322,860",1996,,
Parker Hannifin Corporation,386,Industrial and Farm Equipment,"321,440",1996,,
Cyprus Amax Minerals Company,387,"Mining, Crude-Oil Production","320,700",1996,,
ServiceMaster,388,zMiscellaneous,"320,250",1996,,
"Asarco, Inc.",389,"Mining, Crude-Oil Production","319,780",1996,,
Pacific Mutual Life Insurance,390,"Insurance: Life, Health (Mutual)","316,050",1996,,
Southern Pacific Rail Corporation,391,Railroads,"315,130",1996,,
Olin Corporation,399,Food and Drug Stores,"308,370",1996,,
"Praxair, Inc.",393,Chemicals,"314,600",1996,,
Avery Dennison Corporation,394,Forest and Paper Products,"311,390",1996,,
"Comerica, Inc.",395,Commercial Banks,"311,260",1996,,
ALLTEL Corporation,396,Telecommunications,"310,970",1996,,
"WellPoint Health Networks, Inc.",397,Health Care,"310,710",1996,,
Tech Data Corporation,398,Wholesalers,"308,660",1996,,
Foster Wheeler Corporation,400,"Engineering, Construction","308,190",1996,,
Brunswick Corporation,403,"Publishing, Printing","306,850",1996,,
Long Island Lighting Company,402,Utilities: Gas and Electric,"307,510",1996,,
"Staples, Inc.",404,Specialty Retailers,"306,810",1996,,
"Applied Materials, Inc.",405,"Electronics, Electrical Equip.","306,190",1996,,
Yellow Corporation,406,Trucking,"305,660",1996,,
Florida Progress Corporation,407,Utilities: Gas and Electric,"305,560",1996,,
GEICO Corporation,408,Insurance: Property and Casualty (Stock),"305,400",1996,,
Hormel Foods Corporation,409,Food,"304,620",1996,,
Maytag Corporation,410,"Electronics, Electrical Equip.","303,950",1996,,
CINergy Corp.,411,Utilities: Gas and Electric,"303,140",1996,,
Valero Energy Corporation,412,Petroleum Refining,"301,980",1996,,
The Progressive Corporation,415,Commercial Banks,"299,610",1996,,
Carolina Power & Light Company,414,Utilities: Gas and Electric,"300,660",1996,,
"Owens & Minor, Inc.",416,Wholesalers,"297,650",1996,,
Oracle Corporation,417,Computer And Data Services,"296,690",1996,,
"Diamond Shamrock, Inc.",418,Petroleum Refining,"295,670",1996,,
